timeslot,netload
0,714
1,983
2,1000
3,956
4,892
5,815
6,737
7,703
8,673
9,662
10,635
11,606
12,568
13,540
14,522
15,523
16,501
17,471
18,495
19,507
20,513
21,546
22,635
23,732
24,916
25,1294
26,1905
27,2755
28,3602
29,4286
30,4994
31,5673
32,5978
33,5955
34,5805
35,5540
36,5321
37,5148
38,5154
39,5081
40,5029
41,4950
42,4839
43,4706
44,4450
45,4252
46,4075
47,3913
48,3793
49,3799
50,3930
51,3933
52,4153
53,4346
54,4513
55,4597
56,4702
57,4808
58,4889
59,4898
60,5003
61,5131
62,5249
63,5289
64,5278
65,5278
66,5213
67,5340
68,5688
69,6070
70,6448
71,6616
72,6451
73,5954
74,5385
75,4932
76,4532
77,4140
78,3855
79,3570
80,3443
81,3494
82,3419
83,3317
84,3218
85,3149
86,2943
87,2747
88,2545
89,2353
90,2089
91,1854
92,1617
93,1397
94,1164
95,776
