ts,netload,speed
0,714,39.83778033092081
1,1008,39.617976129662026
2,1091,39.496982862138
3,986,39.64528116876483
4,918,39.71750602276395
5,821,39.79089726385391
6,737,39.830254995312806
7,709,39.83925477608454
8,686,39.84534576583716
9,664,39.850187400684916
10,633,39.855574104983916
11,597,39.86005820170593
12,562,39.862972884147965
13,528,39.86478019137423
14,514,39.865300090548246
15,511,39.86539738112412
16,495,39.86584228225359
17,463,39.86642928439813
18,485,39.86606418188337
19,500,39.86571589036421
20,515,39.86526660753469
21,547,39.863876356029884
22,637,39.85496505150607
23,741,39.82881632073616
24,932,39.70410510917801
25,1322,39.00957737114659
26,1928,36.881531218686845
27,2785,32.96877676674364
28,3605,29.27777833582435
29,4233,26.725384867846042
30,4918,24.24866661375592
31,5541,22.25800090263042
32,5751,21.63842421873448
33,5717,21.737071305108056
34,5506,22.363686000156164
35,5314,22.956133562565014
36,5092,23.668717248927237
37,4965,24.090118270716168
38,4998,23.97963980602449
39,4924,24.22834755580702
40,4864,24.432582194144924
41,4797,24.663403425671692
42,4660,25.144562290968043
43,4509,25.689402925971834
44,4288,26.514761113946623
45,4111,27.200053573847992
46,3956,27.817965993934305
47,3786,28.514651510501757
48,3679,28.963166321193714
49,3743,28.693977138011668
50,3829,28.336571979339336
51,3837,28.3035790840337
52,4076,27.338130825601755
53,4280,26.5452674924342
54,4460,25.869518791761685
55,4593,25.38441905076834
56,4739,24.865591630670604
57,4833,24.539016509996944
58,4945,24.15741277575289
59,4982,24.033118604026903
60,5126,23.557618831541447
61,5336,22.887144945951622
62,5474,22.46092981217547
63,5499,22.384907541199897
64,5536,22.273055760543347
65,5610,22.0516974916461
66,5652,21.92743798844531
67,5706,21.76912267552616
68,5991,20.95980744132758
69,6393,19.889260758276663
70,6757,18.986093871055544
71,6819,18.83813445201912
72,6591,19.39053376703433
73,6046,20.808557370289442
74,5368,22.78731263349918
75,4789,24.691160063274822
76,4300,26.469084320211323
77,3862,28.20075671070281
78,3554,29.49666797305769
79,3289,30.659782685288132
80,3176,31.167867061445335
81,3154,31.267544665231593
82,3118,31.431155605513556
83,3027,31.847337016079635
84,2931,32.289995943508295
85,2828,32.76829363567281
86,2687,33.42689194123943
87,2500,34.30214586748386
88,2356,34.97215635246965
89,2196,35.705368975948204
90,1952,36.77993857991181
91,1727,37.692076106184594
92,1512,38.45508408299248
93,1307,39.04775891237983
94,1096,39.488774807602006
95,647,39.85333466719956
