x,load_before,load_after
0,72,89
1,132,126
2,137,121
3,117,110
4,117,113
5,117,129
6,103,126
7,110,113
8,101,106
9,97,88
10,99,91
11,102,99
12,93,95
13,85,93
14,83,88
15,85,86
16,78,84
17,74,70
18,74,85
19,77,94
20,84,107
21,91,126
22,114,157
23,139,199
24,170,223
25,212,292
26,248,411
27,329,591
28,477,715
29,605,715
30,714,715
31,816,714
32,868,715
33,901,712
34,897,713
35,844,715
36,783,715
37,728,712
38,754,714
39,771,715
40,791,709
41,794,692
42,800,656
43,773,684
44,726,714
45,674,715
46,616,712
47,613,712
48,600,713
49,594,714
50,606,713
51,589,713
52,592,713
53,609,712
54,627,714
55,664,715
56,693,713
57,699,712
58,720,715
59,711,715
60,719,714
61,760,715
62,768,714
63,791,715
64,819,711
65,819,715
66,796,714
67,813,714
68,860,713
69,937,714
70,1028,715
71,1024,715
72,967,714
73,859,714
74,797,715
75,725,714
76,681,715
77,640,705
78,588,702
79,540,703
80,538,685
81,535,665
82,514,607
83,496,558
84,460,495
85,472,496
86,456,469
87,451,424
88,403,399
89,374,360
90,331,329
91,255,319
92,203,299
93,186,261
94,161,228
95,100,172
